source,title,company,location,country,remote_type,url,primary_track,fit_score,matched_skills,missing_skills,salary_min,salary_max,currency,seniority_estimate,link_status,link_status_code
adzuna,Senior Machine Learning Engineer Python AWS,Client Server,"Chesterton, Cambridge",gb,,https://www.adzuna.co.uk/jobs/land/ad/5765659501?se=CiILj7ts8RGl0MKcaJBBpg&utm_medium=api&utm_source=76293b30&v=1031E4DCC4E550B255FB2F18076E84DF5B796FA0,backend_cloud,100.0,IAM; AWS Lambda; X-Ray; Python; RDS; DynamoDB; API Gateway; SQS; SNS; CloudWatch,,100000.0,100000.0,,senior,unknown,403
adzuna,Full-Stack java Cloud Serverless Engineer (AWS),Velocity Talent Ltd,"Leeds, West Yorkshire",gb,,https://www.adzuna.co.uk/jobs/land/ad/5738373063?se=qgt3j7ts8RGMh_173Qd3yQ&utm_medium=api&utm_source=76293b30&v=D59E2D6C23A5FCE1AEA86D43AE2813B594263CB5,backend_cloud,100.0,IAM; AWS Lambda; X-Ray; RDS; DynamoDB; API Gateway; SQS; SNS; CloudWatch; Serverless,,80000.0,80000.0,,unknown,unknown,403
adzuna,Senior Backend Engineer (AWS),Calibrated Staffing,"Pioneer Square, King County",us,,https://www.adzuna.com/details/5232726502?utm_medium=api&utm_source=76293b30,backend_cloud,100.0,IAM; AWS Lambda; X-Ray; RDS; DynamoDB; API Gateway; SQS; SNS; CloudWatch,,185684.36,185684.36,,senior,accessible,200
adzuna,Sr. Python AWS Engineer,Two95 International Inc.,"Tysons, Fairfax County",us,,https://www.adzuna.com/details/5422662302?utm_medium=api&utm_source=76293b30,backend_cloud,100.0,IAM; AWS Lambda; X-Ray; Python; RDS; DynamoDB; API Gateway; SQS; SNS; CloudWatch,,120163.15,120163.15,,senior,accessible,200
adzuna,"Software Engineer, Serverless Networking",Google,"San Francisco, California",us,,https://www.adzuna.com/land/ad/5770182357?se=om4Wlbts8RGMh_173Qd3yQ&utm_medium=api&utm_source=76293b30&v=448DAD9ABB083CD12FBBD1F9F505DA9DE7FDF2D4,backend_cloud,100.0,Serverless,,244395.42,244395.42,,unknown,unknown,403
adzuna,"Engineering Manager, Serverless Networking Infrastructure",Google,"SoMa, San Francisco",us,,https://www.adzuna.com/land/ad/5769878235?se=om4Wlbts8RGMh_173Qd3yQ&utm_medium=api&utm_source=76293b30&v=F849FDDFF92C81AB5834E125FE6B73C96961EABC,backend_cloud,100.0,Serverless,,181489.92,181489.92,,manager,unknown,403
adzuna,Data Platform Engineer,Tata Consultancy Services,"Vitoria-Gasteiz, Álava",es,,https://www.adzuna.es/land/ad/5750888976?se=1DXQm7ts8RGMh_173Qd3yQ&utm_medium=api&utm_source=76293b30&v=EC509CE3948BF962B49ED68A382B60DA55921B17,backend_cloud,100.0,PostgreSQL; Git,,,,,unknown,unknown,403
adzuna,Senior Backend Engineer - JVM (Java/Kotlin) & AWS,adsquare,"Prenzlauer Berg, Berlin",de,,https://www.adzuna.de/details/5727275082?utm_medium=api&utm_source=76293b30,backend_cloud,100.0,IAM; AWS Lambda; X-Ray; RDS; DynamoDB; API Gateway; SQS; SNS; CloudWatch,,,,,senior,accessible,200
adzuna,Softwareontwikkelaar,WR.nl Solliciteren,"Groningen, Provincie Groningen",nl,,https://www.adzuna.nl/land/ad/5769312150?se=JDdDpbts8RGJe8gKxAvXaw&utm_medium=api&utm_source=76293b30&v=611238668AC9A3DD2EA46A86F8B324621F774BDA,backend_cloud,100.0,IAM; AWS Lambda; X-Ray; Python; RDS; DynamoDB; API Gateway; SQS; SNS; CloudWatch,,60000.0,84000.0,,senior,unknown,403
adzuna,"Senior Software Developer / Infrastructure Engineer (IoT, AWS) Python",WR.nl Solliciteren,"Paddepoel, Groningen",nl,,https://www.adzuna.nl/details/5768076869?utm_medium=api&utm_source=76293b30,backend_cloud,100.0,IAM; AWS Lambda; X-Ray; Python; RDS; DynamoDB; API Gateway; SQS; SNS; CloudWatch,,60000.0,84000.0,,senior,accessible,200
adzuna,Linux automation engineer-Site reliability engineer,Randstad Professional,"Groningen, Provincie Groningen",nl,,https://www.adzuna.nl/land/ad/5768041324?se=bpwFp7ts8RGMh_173Qd3yQ&utm_medium=api&utm_source=76293b30&v=CBBFC27A46A4430235A687DC55CCD2561D905574,platform_engineering,100.0,Agile,,64800.0,64800.0,,unknown,unknown,403
arbeitnow,Business Development Manager:in (m/f/d),WRING GmbH,Filderstadt,,remote,https://www.arbeitnow.com/jobs/companies/wring-gmbh/business-development-managerin-filderstadt-421206,backend_cloud,100.0,IAM; AWS Lambda; X-Ray; RDS; DynamoDB; API Gateway; SQS; SNS; CloudWatch,,,,,manager,accessible,200
